qtr         yr          avggpa          
----------  ----------  ----------------
Spring      2020        3.46553822966785
Fall        2020        3.39625064588357
Winter      2020        3.36587583219871
Winter      2021        3.36503654601724
Summer      2020        3.3534953124529 
Fall        2019        3.19174419951354
Spring      2019        3.17637919643224
Winter      2019        3.17441188851579
Summer      2019        3.1739917248297 
Spring      2018        3.14269278264803
Fall        2018        3.13452757970817
Summer      2018        3.13196286472149
Spring      2017        3.13017243536801
Spring      2016        3.12332386363635
Fall        2017        3.11597538995569
Summer      2017        3.11318265493967
Winter      2018        3.11074510066214
Summer      2016        3.10065325857724
Winter      2017        3.09990096010438
Fall        2016        3.05182313226599
Winter      2016        3.05003468816535
Fall        2015        3.03940845882268
