dept        cnum        nyears      avggpa          
----------  ----------  ----------  ----------------
CMPSC       138         7           2.90252780586451
CMPSC       40          7           2.93250183418929
CMPSC       130B        6           2.96482051282051
CMPSC       178         5           3.0331983805668 
CMPSC       176A        6           3.04926160337553
CMPSC       180         6           3.06775510204082
CMPSC       174A        6           3.0907192575406 
CMPSC       170         6           3.15073891625616
CMPSC       160         6           3.18446428571428
CMPSC       130A        7           3.22322344322344
